,Name,Calories,Type
527,Bolo da Nana com Ganache (Isabela Akkari),234,1 porção (70g)
528,Suco de Uva (Izzy),128,1 copo (200ml)
529,Água de Coco (Izzy),49,1 copo (200ml)
530,Néctar de Laranja (Izzy),92,1 copo (200ml)
531,Néctar de Maracujá (Izzy),96,1 copo (200ml)
532,Néctar de Caju (Izzy),96,1 copo (200ml)
533,Suco de Pêssego (Izzy),104,1 copo (200ml)
534,Néctar de Uva (Izzy),112,1 copo (200ml)
535,Suco de Uva Light (Izzy),36,1 copo (200ml)
536,Néctar de Pêssego (Izzy),104,1 copo (200ml)
537,"Panqueca de Aveia, Banana e Canela (Liv Up)",200,1 unidade (80g)
538,Batata Rústica com Alecrim (Liv Up),104,100g
539,Brócolis no Vapor (Liv Up),44,1 porção (110g)
540,Crepioca com Queijo (Liv Up),192,1 porção (80g)
541,Couve Refogada (Liv Up),25,1 pacote (60g)
542,Crepioca com Queijo Branco (Liv Up),203,1 colher (80g)
543,Mix de Legumes Assados (Liv Up),58,1 porção (110g)
544,Iscas de Filé Mignon Acebolado (Liv Up),187,1 porção (110g)
545,Batata Assada com Alho e Salsinha (Liv Up),126,1 porção (100g)
546,Omelete com Queijo Branco (Liv Up),169,1 porção (80g)
547,Estrogonofe de Frango (Liv Up),293,1 pacote (140g)
548,Arroz Negro (Liv Up),149,100g
549,Mix de Legumes no Vapor (Liv Up),42,100g
550,Risoto de Limão Siciliano (Liv Up),268,1 porção (150g)
551,Mandioquinha com Salsa (Liv Up),125,100g
552,Frango Grelhado (Liv Up),199,1 porção (110g)
553,Farofa com Couve (Liv Up),117,1 porção (30g)
554,Posta de Salmão Assado (Liv Up),250,1 unidade (110g)
555,Espinafre Refogado (Liv Up),28,1 pacote (80g)
556,Carne Moída com Cenoura e Vagem (Liv Up),142,1 pacote (110g)
557,Mandolate (Konrad),62,1 unidade (15g)
558,Queijo Coalho (Lebom),87,1 fatia (30g)
559,Gelatina Pronta (Lebom),6,100g
560,Leite Uht Desnatado (200ml) (Lebom),64,1 copo (200ml)
561,Iogurte Desnatado com Polpa de Ameixa (Lebom),160,1 copo (200g)
562,Manteiga (Lebom),71,1 colher de sopa (10g)
563,Iogurte Desnatado com Mel (Lebom),140,1 copo (170g)
564,Coalhada Desnatada com Adoçante (Lebom),45,1 pote (140g)
565,Iogurte Desnatado com Polpa de Fruta Sabor Morango e Cereal (Lebom),156,1 copo (200g)
566,Iogurte Natural Desnatado (Lebom),84,1 copo (200g)
567,Leite Integral (Lebom),114,1 copo (200ml)
568,Iogurte Natural Integral (Lebom),121,1 copo (180g)
569,Coalhada Integral Adoçada (Lebom),138,1 copinho (140g)
570,Leite UHT Desnatado (Lebom),32,100ml
